                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                0.83699,                0.67599,                 1.0424,                0.69558,                0.48274,                0.56825,                0.39074,                 1.2005,                0.99301,                 1.3244,             0.00026853,             0.00026853,             0.00026853
                     48,                0.82904,                0.65302,                 1.0449,                0.70563,                0.46793,                0.55625,                0.37821,                 1.1909,                 1.0016,                 1.3247,             0.00026683,             0.00026683,             0.00026683
                     49,                0.82258,                0.64597,                 1.0384,                 0.7291,                0.48233,                0.57042,                0.40405,                 1.1725,                0.97664,                 1.3157,             0.00026514,             0.00026514,             0.00026514
                     50,                0.83027,                0.65901,                 1.0425,                0.78171,                0.46286,                0.56623,                 0.3923,                 1.1945,                0.97558,                 1.3244,             0.00026344,             0.00026344,             0.00026344
                     51,                0.83504,                0.64571,                 1.0356,                0.74857,                0.47957,                0.56291,                0.38879,                 1.1644,                0.97606,                 1.2923,             0.00026174,             0.00026174,             0.00026174
                     52,                0.81816,                0.66221,                 1.0369,                0.71599,                0.51505,                0.56849,                 0.3948,                 1.1769,                 1.0031,                 1.3021,             0.00026004,             0.00026004,             0.00026004
                     53,                0.84096,                0.65554,                 1.0525,                 0.6874,                0.50493,                0.57193,                0.39736,                  1.185,                 1.0004,                 1.3214,             0.00025834,             0.00025834,             0.00025834
                     54,                0.81795,                0.64731,                 1.0405,                0.73333,                0.47393,                 0.5542,                0.38158,                 1.2151,                 1.0184,                  1.311,             0.00025664,             0.00025664,             0.00025664
                     55,                0.79498,                0.61764,                 1.0338,                0.75716,                0.46952,                0.54839,                0.38416,                 1.2104,                0.97981,                  1.321,             0.00025494,             0.00025494,             0.00025494
                     56,                 0.7801,                0.71461,                 1.0031,                0.67829,                0.48015,                0.55683,                 0.3859,                 1.2054,                0.97106,                 1.3223,             0.00025324,             0.00025324,             0.00025324
                     57,                0.81984,                0.64746,                 1.0418,                0.67457,                0.51352,                0.55633,                0.39414,                 1.1764,                0.95523,                 1.3028,             0.00025154,             0.00025154,             0.00025154
                     58,                0.82104,                0.63574,                 1.0371,                 0.7592,                0.47724,                0.58172,                0.39322,                 1.2138,                0.95233,                 1.3417,             0.00024984,             0.00024984,             0.00024984
                     59,                0.80579,                 0.6214,                 1.0286,                 0.8106,                0.50017,                0.56937,                0.39807,                 1.1911,                0.98932,                 1.3153,             0.00024814,             0.00024814,             0.00024814
                     60,                0.80248,                0.61496,                 1.0209,                0.67185,                0.51169,                0.57407,                0.39922,                 1.1741,                0.95944,                 1.3039,             0.00024644,             0.00024644,             0.00024644
                     61,                0.78051,                0.58927,                 1.0101,                0.78295,                0.50756,                0.56714,                0.38986,                 1.1807,                 0.9758,                 1.3086,             0.00024474,             0.00024474,             0.00024474
                     62,                0.81324,                0.62025,                 1.0401,                0.72199,                 0.4965,                0.60882,                0.41181,                 1.1959,                0.99072,                 1.3177,             0.00024304,             0.00024304,             0.00024304
                     63,                0.78896,                0.60193,                 1.0169,                0.75611,                0.50317,                0.59752,                 0.3927,                 1.2287,                 1.0204,                 1.3548,             0.00024135,             0.00024135,             0.00024135
                     64,                0.81286,                0.63073,                  1.034,                  0.707,                0.51496,                0.56763,                0.38747,                 1.2321,                0.98773,                 1.3619,             0.00023965,             0.00023965,             0.00023965
                     65,                0.77261,                0.59015,                 1.0146,                0.70157,                0.49343,                0.57772,                0.39705,                 1.2184,                0.96092,                  1.348,             0.00023795,             0.00023795,             0.00023795
                     66,                0.76717,                0.59344,                 1.0123,                0.77038,                0.48803,                0.58264,                0.39862,                 1.2009,                0.95853,                 1.3298,             0.00023625,             0.00023625,             0.00023625
                     67,                0.78996,                0.59878,                 1.0411,                0.75071,                0.49841,                0.57959,                0.39673,                 1.1899,                 1.0142,                 1.3129,             0.00023455,             0.00023455,             0.00023455
                     68,                0.75668,                 0.5826,                0.99662,                0.68042,                0.50513,                0.56639,                0.38909,                 1.1831,                 1.0089,                  1.326,             0.00023285,             0.00023285,             0.00023285
                     69,                 0.7678,                0.59914,                 1.0094,                0.78164,                0.48349,                0.56487,                0.38685,                 1.2033,                 1.0095,                 1.3276,             0.00023115,             0.00023115,             0.00023115
                     70,                0.76157,                0.57944,                 1.0062,                0.79555,                0.49288,                0.58455,                0.39716,                 1.1958,                0.99442,                 1.3045,             0.00022945,             0.00022945,             0.00022945
                     71,                0.76154,                0.57052,                  1.007,                0.76785,                0.48701,                0.54802,                0.38286,                 1.1886,                0.99571,                 1.3189,             0.00022775,             0.00022775,             0.00022775
                     72,                0.78799,                0.58924,                 1.0125,                0.76574,                0.48131,                0.54564,                0.36162,                 1.2076,                 1.0052,                 1.3586,             0.00022605,             0.00022605,             0.00022605
                     73,                0.73094,                0.53941,                0.99712,                0.79167,                0.49255,                0.56817,                 0.3892,                 1.2157,                0.98147,                 1.3706,             0.00022435,             0.00022435,             0.00022435
                     74,                0.75289,                0.55749,                0.99327,                0.78727,                0.49337,                0.56004,                0.38834,                  1.192,                0.97111,                 1.3246,             0.00022265,             0.00022265,             0.00022265
                     75,                 0.7578,                0.56789,                 0.9941,                0.75052,                0.49941,                0.56286,                0.39312,                 1.2035,                0.99702,                 1.3375,             0.00022095,             0.00022095,             0.00022095
                     76,                0.74365,                0.55352,                0.99794,                0.76649,                0.47485,                0.56832,                0.39614,                 1.1851,                0.97847,                 1.3156,             0.00021926,             0.00021926,             0.00021926
                     77,                0.73913,                0.54862,                0.98461,                0.76036,                0.50125,                0.56354,                0.39049,                 1.1976,                0.96612,                 1.3324,             0.00021756,             0.00021756,             0.00021756
                     78,                0.73805,                0.53324,                0.99507,                0.76092,                0.49587,                0.56787,                0.39843,                 1.1886,                0.99038,                 1.3308,             0.00021586,             0.00021586,             0.00021586
                     79,                0.70533,                0.52166,                0.98116,                0.71462,                0.49745,                0.56393,                0.39274,                 1.2024,                 1.0028,                 1.3393,             0.00021416,             0.00021416,             0.00021416
                     80,                0.75554,                0.54514,                0.99377,                 0.7638,                0.51268,                0.58202,                0.40984,                 1.2234,                0.96727,                 1.3634,             0.00021246,             0.00021246,             0.00021246
                     81,                0.71093,                0.54247,                 0.9781,                0.75673,                0.50178,                0.57422,                0.40128,                 1.2184,                0.97512,                 1.3828,             0.00021076,             0.00021076,             0.00021076
                     82,                0.71165,                0.54318,                0.98489,                0.81527,                0.48401,                0.58336,                0.40778,                 1.1796,                0.93399,                 1.3337,             0.00020906,             0.00020906,             0.00020906
                     83,                0.71951,                0.53149,                0.98993,                0.69438,                0.51766,                0.56845,                0.39903,                 1.1853,                0.95273,                 1.3185,             0.00020736,             0.00020736,             0.00020736
                     84,                0.71545,                0.51442,                0.97403,                0.68387,                0.50789,                 0.5485,                0.38826,                 1.1988,                0.96703,                 1.3297,             0.00020566,             0.00020566,             0.00020566
                     85,                0.73158,                 0.5438,                0.98091,                0.74508,                0.50456,                0.55247,                0.38913,                 1.1833,                0.96571,                 1.3164,             0.00020396,             0.00020396,             0.00020396
                     86,                0.73964,                0.56774,                0.98472,                0.81881,                0.49088,                0.57229,                0.40195,                 1.1723,                0.93815,                 1.2935,             0.00020226,             0.00020226,             0.00020226
                     87,                0.70781,                0.54867,                0.98669,                0.80184,                0.50332,                0.55833,                0.39133,                 1.1789,                0.92834,                    1.3,             0.00020056,             0.00020056,             0.00020056
                     88,                0.68923,                0.49788,                0.96288,                0.82662,                0.47814,                0.57249,                0.40936,                 1.1642,                0.94984,                 1.3032,             0.00019886,             0.00019886,             0.00019886
                     89,                0.70777,                0.51226,                0.97736,                0.83087,                0.48487,                0.56969,                0.40842,                 1.1681,                0.96503,                 1.3101,             0.00019716,             0.00019716,             0.00019716
                     90,                0.69053,                0.50309,                0.96873,                0.74947,                0.49625,                0.56035,                0.39704,                 1.1724,                0.93277,                 1.3252,             0.00019547,             0.00019547,             0.00019547
                     91,                0.69424,                0.50855,                0.96454,                0.77939,                0.48599,                0.57284,                0.40766,                 1.1744,                0.93523,                  1.323,             0.00019377,             0.00019377,             0.00019377
                     92,                 0.6985,                0.51911,                0.97193,                0.77318,                0.50112,                0.57298,                0.40187,                 1.1896,                0.95166,                 1.3624,             0.00019207,             0.00019207,             0.00019207
                     93,                 0.6944,                0.50591,                 0.9735,                0.77018,                0.47038,                0.55845,                0.38937,                 1.1573,                0.93354,                 1.3043,             0.00019037,             0.00019037,             0.00019037
                     94,                0.70786,                0.52407,                0.97351,                0.68519,                0.52036,                0.56476,                0.39803,                  1.172,                0.91764,                 1.3212,             0.00018867,             0.00018867,             0.00018867
                     95,                 0.6901,                0.49742,                0.96821,                0.68545,                0.51102,                 0.5644,                0.40321,                 1.1544,                0.91533,                 1.3011,             0.00018697,             0.00018697,             0.00018697
                     96,                 0.6936,                0.50205,                0.97329,                0.68879,                0.52176,                0.56633,                0.40532,                 1.1504,                0.92294,                    1.3,             0.00018527,             0.00018527,             0.00018527
                     97,                0.69297,                0.49874,                0.95874,                0.71055,                0.51729,                0.56707,                0.39981,                 1.1537,                0.92128,                  1.296,             0.00018357,             0.00018357,             0.00018357
                     98,                0.67788,                0.49946,                 0.9687,                0.74069,                0.49616,                0.55293,                0.39703,                 1.1489,                0.95397,                 1.2993,             0.00018187,             0.00018187,             0.00018187
                     99,                0.68179,                0.48181,                0.96433,                0.78045,                0.51396,                0.56901,                0.40833,                   1.16,                0.95527,                 1.2992,             0.00018017,             0.00018017,             0.00018017
                    100,                0.66655,                0.48709,                0.96396,                0.75294,                0.50046,                0.56754,                0.40792,                 1.1605,                0.94937,                 1.3127,             0.00017847,             0.00017847,             0.00017847
                    101,                0.68025,                0.49814,                0.96694,                 0.7265,                0.52245,                0.56948,                0.40479,                 1.1552,                0.93111,                 1.3153,             0.00017677,             0.00017677,             0.00017677
                    102,                 0.6777,                0.49147,                0.96159,                0.80366,                0.51053,                0.58224,                0.40676,                 1.1521,                0.93064,                 1.3063,             0.00017507,             0.00017507,             0.00017507
                    103,                0.67505,                0.49188,                0.96756,                0.65546,                 0.5281,                0.57454,                0.40283,                 1.1588,                0.93445,                 1.3229,             0.00017338,             0.00017338,             0.00017338
                    104,                 0.6617,                0.47379,                 0.9612,                0.72314,                0.53084,                 0.5575,                0.39485,                 1.1442,                0.94007,                 1.3062,             0.00017168,             0.00017168,             0.00017168
                    105,                0.69164,                0.50434,                0.98877,                0.80712,                0.50689,                0.56366,                0.40253,                 1.1521,                0.94369,                 1.3087,             0.00016998,             0.00016998,             0.00016998
                    106,                0.68616,                0.49998,                0.97726,                 0.8073,                0.50201,                 0.5808,                0.40832,                  1.165,                0.93925,                 1.3053,             0.00016828,             0.00016828,             0.00016828
                    107,                0.68534,                0.51773,                0.99223,                0.83192,                0.49002,                0.57002,                0.40105,                  1.165,                0.94764,                 1.3043,             0.00016658,             0.00016658,             0.00016658
                    108,                0.66779,                0.49146,                0.95351,                0.79751,                 0.5103,                 0.5656,                0.39854,                 1.1659,                0.95509,                  1.299,             0.00016488,             0.00016488,             0.00016488
                    109,                0.67115,                0.47277,                0.95359,                0.71929,                0.50287,                 0.5517,                0.39141,                 1.1625,                0.95632,                 1.3014,             0.00016318,             0.00016318,             0.00016318
                    110,                0.66127,                0.47861,                0.95629,                0.78884,                0.47039,                0.56374,                0.39786,                 1.1625,                0.95456,                 1.3011,             0.00016148,             0.00016148,             0.00016148
                    111,                0.62398,                0.45022,                0.94902,                0.81718,                0.49482,                 0.5691,                0.40707,                 1.1934,                0.95923,                 1.3336,             0.00015978,             0.00015978,             0.00015978
                    112,                0.67712,                0.48825,                0.95964,                0.72613,                0.49852,                0.56403,                0.40406,                 1.1792,                0.95588,                 1.3114,             0.00015808,             0.00015808,             0.00015808
                    113,                0.66385,                0.49606,                0.96234,                0.70992,                0.52104,                0.57192,                0.40647,                  1.162,                0.92894,                 1.3101,             0.00015638,             0.00015638,             0.00015638
